"id_q","reputation_a","votecount"
75959,5152,1
76002,1281,2
76080,7053,1
76275,313,1
76275,2536,3
76325,140,1
76325,837,4
76359,4585,1
76359,1038,1
76403,451,4
76412,97,6
76412,118,1
76464,3536,1
76464,86,1
76484,96,1
76553,96,1
76553,1245,2
76571,178,1
76581,868,1
76581,868,1
76781,86,1
76781,1118,3
76817,106,1
77082,86,1
77102,9574,1
77102,19941,1
77287,17402,3
77418,221,3
77535,485,1
77731,5395,6
77748,134,1
77748,702,2
77934,3972,1
77934,8011,2
78018,1925,2
78053,28768,2
78062,3396,1
78064,31,2
78127,3890,2
78161,868,1
78161,4421,2
78262,390,2
78263,81,1
78453,1004,4
78586,12280,1
78586,1788,4
78590,19961,1
78669,418,3
78669,608,1
78757,153,3
78828,6150,1
78850,179,2
78850,670,1
78859,73,2
78874,300,4
78874,300,2
78974,11,2
79133,441,2
79264,19941,2
79541,482,2
79541,3504,4
79542,23,1
79602,171,3
79602,1063,1
79662,179,1
79727,447,3
79875,2383,3
79992,165,1
79992,176,1
80031,216,1
80042,109,1
80160,978,1
80186,13309,4
80186,1363,1
80291,11053,1
80291,51081,4
80305,1446,2
80305,1061,1
80313,3399,2
80486,10739,6
80593,4228,1
80617,194,3
80617,2212,31
80634,2272,2
80654,53,1
80697,2250,2
80714,11,1
80721,17775,1
80766,21,1
80788,19761,2
80788,14602,1
80908,43,3
81022,16,2
81022,978,3
81071,242,3
81174,180,1
81280,396,1
81285,1798,1
81285,12210,1
81295,13,1
81344,56,2
81350,194,14
81445,543,1
81449,326,1
81449,1577,1
81459,146,6
81472,959,1
81491,1481,2
81521,23954,1
81521,1428,1
81628,191,1
81657,2450,1
81686,13355,2
81686,2116,2
81896,31,4
81949,2531,1
81994,2450,3
81994,31,4
82008,4747,5
82008,6978,3
82074,3692,2
82123,30,2
82123,6446,1
82180,27258,4
82191,180,2
82191,98020,1
82214,5862,1
82214,5862,1
82235,504,1
82269,747,1
82294,5666,5
82323,1321,1
82359,461,1
82417,3396,2
82550,13581,4
