ParentId, Reputation, Votes
1111991,368,1
1112228,142,2
1112896,731,1
1113705,12775,2
1114963,2245,3
1115212,12210,1
1116275,400,1
1116721,1186,3
1116745,2684,1
1116788,2370,5
1117750,610,1
1119740,1037,6
1121411,39172,1
1121703,8101,17
1121823,3789,1
1122609,85960,1
1122775,13674,1
1122810,251,2
1123196,8296,1
1124169,165,1
1124587,12488,4
1124956,3001,1
1127701,184,1
1129105,3386,2
1129410,706,1
1130242,10777,1
1132302,522,1
1133715,860,6
1134845,131,5
1135614,188,1
1136327,116,1
1137991,731,6
1138339,1444,3
1138471,669,2
1138588,6325,6
1139538,757,1
1140223,13674,3
1141544,470,1
1142480,855,2
1142496,1403,4
1142644,111,1
1143890,21974,1
1144253,609,4
1144562,159,2
1144622,2832,1
1144840,2221,1
1145545,8702,1
1145746,1380,4
1147249,181,2
1147864,5697,5
1148938,435,2
1151765,2221,2
1152434,341,2
1152870,1103,1
1153299,857,1
1153690,1358,4
1155409,1487,7
1155748,2855,3
1156365,80,2
1157635,13377,2
1158348,1103,2
1158550,350,2
1159697,1084,1
1159749,1453,7
1159956,181,2
1160205,42512,3
1160337,913,3
1160705,434,1
1162677,435,2
1162739,3485,1
1163138,135,3
1163177,1229,2
1163250,21469,1
1163484,2325,2
1163524,159,5
1164322,195,1
1164614,9991,1
1166089,4502,2
1166214,160,1
1168687,2264,1
1169836,137,2
1170270,522,3
1170519,1149,2
1170660,98020,7
1171083,1003,9
1172126,13674,1
1172584,1169,1
1172997,517,2
1173520,347,2
1173678,6037,5
1173789,1037,14
1175125,3324,1
1175506,129,1
1175855,774,1
1176139,397,1
1176516,1853,4
1178182,2047,2
1178733,632,1
1180820,725,3
1181311,731,2
1182183,382,4
1183167,2018,1
1183419,1295,1
1183450,1281,3
1183776,3485,3
1183842,156,1
1183893,1151,2
1184211,632,1
1184556,9652,5
1184634,251,1
1185362,3324,2
1188220,1434,2
1189072,6023,3
1190488,2489,1
1191621,1481,1
1192269,347,2
1193296,2047,2
1193858,6230,1
1194104,11547,8
1194223,117,1
1195037,96,2
1195203,18045,3
1196351,699,7
1197592,20113,2
1197887,774,2
1198717,322,4
1199211,45648,1
1199283,1403,3
1199695,657,1
1200814,1154,2
1202526,188,2
1202544,503,1
1203253,2265,1
1203295,759,1
1205120,454,1
1206801,2925,2
1207329,2047,8
1207644,231,1
1207838,333,1
1208322,156,3
1208845,52934,1
1208901,52934,1
1209787,19436,2
1210230,667,4
1212753,897,9
1212902,5616,2
1214717,615,1
1215641,689,2
1215767,556,13
1215805,2714,2
1215979,183,6
1216272,1229,3
1216508,17903,5
1216997,2060,1
1217068,1434,6
1217244,774,1
1217483,5087,2
1218315,1309,1
1218348,17163,2
1219214,2980,1
1219789,2325,1
1220251,99,1
1220714,15207,1
1222128,264,1
1222950,168,2
1223287,386,1
1223374,435,1
1223552,306,5
1223671,1433,10
1223691,1038,2
1224412,3365,7
1224529,368,1
1224711,106,1
1225216,391,5
1226567,695,1
1227945,2151,1
1230070,1037,3
1230753,91,2
1231008,544,3
1231292,178,4
1233170,264,2
1233979,434,1
1234687,21983,1
1236245,317,1
1236805,334,1
1237090,2832,7
1237472,2221,5
1237847,702,8
1238354,327,2
1238955,594,1
1240547,4338,1
1240813,491,1
1241000,585,6
1241284,91,6
1241509,2855,1
1242663,3442,1
1243162,1003,1
1244501,116,2
1245388,161,2
1245869,2034,4
1246044,667,1
1246263,537,1
1247728,542,2
1248308,10391,2
1249671,915,1
1249986,114,3
1252099,2325,1
1253311,161,1
1253541,1920,3
1253772,138,1
1253829,417,1
1254578,445,3
1255499,1074,1
1255952,1037,8
1256012,231,4
1260923,2385,3
1261012,101,4
1261117,1106,1
1262084,3271,1
1262142,1403,1
1262237,1360,3
1262758,1341,1
1262903,5067,6
1262905,1037,5
1263088,3557,1
1263378,731,1
1263800,2532,4
1264977,30243,1
1265452,1214,2
1266569,1103,1
1266882,2047,8
1266943,1467,4
1266964,10100,2
1266978,1281,2
1267587,4464,1
1269057,176,1
1269086,667,2
1269449,3282,3
1271445,726,1
1271594,591,2
1271657,137,4
1272161,5589,7
1272609,303,7
1273733,598,1
1274105,362,1
1274293,398,1
1275003,5082,1
1276118,175,1
1278937,6325,1
1279490,388,2
1279663,115,1
1280854,106,1
1281098,485,2
1282286,485,2
1282685,3704,3
1284578,1853,5
1284932,279,1
1287401,3083,3
1290834,455,2
1291697,707,2
1292091,2072,1
1293402,126,6
1294024,1604,2
1294932,2047,1
1295452,153,3
1295913,3632,1
1296546,641,3
1296741,800368,2
1297044,4333,8
1297069,7583,3
1297427,3485,1
1297750,1435,1
1298113,153,3
1298259,707,1
1298982,819,1
1299840,4636,1
1300500,632,2
1301533,4967,1
1301731,1307,2
1302624,113,1
1302653,845,2
1302705,341,1
1304452,3271,1
1306265,1728,1
1307098,2047,3
1307399,614,2
1307495,4244,2
1307767,1424,3
1308149,1403,1
1308554,707,1
1308905,741,1
1309072,211,2
1309315,5762,2
1309781,743,1
1311169,365,5
1311360,2151,7
1311425,731,6
1311472,731,1
1312142,5830,13
1314054,202,3
1315042,13597,1
1315055,485,2
1315465,347,4
1316040,434,4
1316186,418,7
1316407,239,3
1316701,435,3
1316833,12881,3
1317583,1151,2
1318071,731,3
1318869,385,4
1318983,1403,1
1319230,1814,2
1319320,127,2
1320864,989,1
1321029,1186,2
1321497,1003,4
1322661,345,1
1322694,89,2
1323737,524,1
1324079,1173,4
1324263,1229,1
1324307,819,1
1324409,1649,1
1327697,156,3
1329400,1036,3
1330153,707,6
1330376,689,3
1330987,1913,1
1331000,276,1
1331457,136,1
1332195,138,1
1332522,1036,1
1333664,2370,2
1334754,253,4
1335025,226,2
1336108,1151,1
1337865,239,1
1338634,79,4
1339571,1151,2
1339766,574,1
1340833,246,1
1341165,1227,3
1341603,2686,2
1342303,1068,2
1342504,499,1
1342852,689,3
1343320,153,1
1345401,8419,1
1346338,888,2
1346399,176,1
1348629,791,3
1348804,435,8
1350521,1151,4
1350779,485,3
1350910,206,1
1351481,1713,1
1351548,2357,7
1351633,657,3
1351749,435,1
1353049,429,1
1353852,666,1
1353993,101,1
1356055,410,2
1356665,2408,2
1357052,15023,3
1358206,138,2
1359310,342,1
1359433,1036,1
1359682,1727,3
1360218,272,5
1362441,365,1
1363692,347,3
1363935,964,2
1364352,1281,4
1364528,1709,1
1365067,566,4
1365887,318,3
1366780,356,3
1366824,632,3
1367315,1068,1
1367830,111,3
1368330,3074,1
1368471,8459,2
1369515,608,6
1371891,413,1
1371966,2440,2
1372062,1035,1
1372292,1064,5
1372730,6437,4
1372912,379,1
1372996,10391,1
1373506,3899,2
1373949,206,1
1374246,8573,2
1374979,109,2
1375639,771,2
1376129,914,1
1376189,29527,1
1376869,150,1
1378890,6437,1
1379117,426,1
1380721,1229,3
1382352,398,17
1382394,1160,4
1383500,3097,2
1383661,1403,4
1385730,2426,4
1386295,542,4
1386780,272,4
1387298,993,5
1388190,8101,4
1389426,1037,3
1389500,1416,1
1391283,105,1
1392154,2440,3
1392805,308,2
1393371,196,2
1393873,1434,6
1394094,21469,5
1394910,108,14
1396501,657,7
1396529,167,4
1397113,163,7
1397649,362,1
1398539,131,1
1399299,1227,3
1400716,1229,1
1400806,1037,3
1401404,4454,1
1402026,485,1
1402603,1469,2
1402693,305,6
1402903,1203,10
1402936,29244,1
1403517,153,2
1404092,643,1
1404566,642,4
1406293,96,4
1409392,130,2
1409402,6437,3
1410010,739,3
1411542,892,2
1411867,4093,1
1413118,106,5
1415147,2845,3
1415466,3097,1
1415511,1037,1
1416633,136,1
1417438,657,3
1417639,104,2
1417727,121,1
1417776,1055,9
1417909,2525,1
1418472,2421,2
1418519,1307,5
1419126,731,3
1420081,492,3
1420139,5210,1
1420499,632,5
1420948,4093,8
1421064,151,1
1421824,33797,2
1422655,1037,2
1424121,4464,2
1424382,9202,1
1424548,347,1
1424636,556,2
1425737,388,2
1427458,2408,1
1427845,839,1
1428317,30408,3
1428340,769,2
1432068,15023,5
1432229,3479,8
1433334,532,4
1433360,4527,3
1433954,1616,5
1434980,27070,1
1436152,201,1
